,Comments_youtube,Comments_CaseFolding,CharEmoNum_Remove,RemoveDoubleWord,tokenizing,Comments_stopwordfix,Stemming2
0,"Bawa saja kasus mereka atas penculikan, pembunuhan, teror, kekerasan dan pembuat rusuh di tengah2 masyarakat.. Kasus mereka lbh banyak..","bawa saja kasus mereka atas penculikan, pembunuhan, teror, kekerasan dan pembuat rusuh di tengah2 masyarakat.. kasus mereka lbh banyak..",bawa saja kasus mereka atas penculikan pembunuhan teror kekerasan dan pembuat rusuh di tengah masyarakat kasus mereka lbh banyak,bawa saja kasus mereka atas penculikan pembunuhan teror kekerasan dan pembuat rusuh di tengah masyarakat lbh banyak,"['bawa', 'saja', 'kasus', 'mereka', 'atas', 'penculikan', 'pembunuhan', 'teror', 'kekerasan', 'dan', 'pembuat', 'rusuh', 'di', 'tengah', 'masyarakat', 'lbh', 'banyak']","['bawa', 'penculikan', 'pembunuhan', 'teror', 'kekerasan', 'pembuat', 'rusuh', 'masyarakat', 'lbh']","['bawa', 'culi', 'bunuh', 'teror', 'keras', 'buat', 'rusuh', 'masyarakat', 'lbh']"
1,Betuuullll,betuuullll,betuuullll,betuuullll,['betuuullll'],['betuuullll'],['betuuullll']
2,"Bener,  mrk sj se enak jidad bunuh org, guru, murid sekolah ,ojol, blm properti yg dirusak, mrk jelas kriminal, harus di tumpas, jgn kasih kendor, peduli amat HAM","bener,  mrk sj se enak jidad bunuh org, guru, murid sekolah ,ojol, blm properti yg dirusak, mrk jelas kriminal, harus di tumpas, jgn kasih kendor, peduli amat ham",bener  mrk sj se enak jidad bunuh org guru murid sekolah ojol blm properti yg dirusak mrk jelas kriminal harus di tumpas jgn kasih kendor peduli amat ham,bener mrk sj se enak jidad bunuh org guru murid sekolah ojol blm properti yg dirusak jelas kriminal harus di tumpas jgn kasih kendor peduli amat ham,"['bener', 'mrk', 'sj', 'se', 'enak', 'jidad', 'bunuh', 'org', 'guru', 'murid', 'sekolah', 'ojol', 'blm', 'properti', 'yg', 'dirusak', 'jelas', 'kriminal', 'harus', 'di', 'tumpas', 'jgn', 'kasih', 'kendor', 'peduli', 'amat', 'ham']","['bener', 'mrk', 'sj', 'enak', 'jidad', 'bunuh', 'org', 'guru', 'murid', 'sekolah', 'ojol', 'blm', 'properti', 'yg', 'dirusak', 'kriminal', 'tumpas', 'jgn', 'kasih', 'kendor', 'peduli', 'ham']","['bener', 'mrk', 'sj', 'enak', 'jidad', 'bunuh', 'org', 'guru', 'murid', 'sekolah', 'ojol', 'blm', 'properti', 'yg', 'rusak', 'kriminal', 'tumpas', 'jgn', 'kasih', 'kendor', 'peduli', 'ham']"
3,Orang HAM buta bro percuma,orang ham buta bro percuma,orang ham buta bro percuma,orang ham buta bro percuma,"['orang', 'ham', 'buta', 'bro', 'percuma']","['orang', 'ham', 'buta', 'bro']","['orang', 'ham', 'buta', 'bro']"
4, @P.S  kalo soal bagi gajih matanya sehat lagi wkwk, @p.s  kalo soal bagi gajih matanya sehat lagi wkwk, ps  kalo soal bagi gajih matanya sehat lagi wkwk,ps kalo soal bagi gajih matanya sehat lagi wkwk,"['ps', 'kalo', 'soal', 'bagi', 'gajih', 'matanya', 'sehat', 'lagi', 'wkwk']","['ps', 'kalo', 'gajih', 'matanya', 'sehat', 'wkwk']","['ps', 'kalo', 'gajih', 'mata', 'sehat', 'wkwk']"
5," @andre julianus3  lihat negara tetangganya aja, tingkat kriminal parah dan di cap negara tidak aman. Mereka kan masih sodaraan, pasti sifatnya sama. Cuman warga yang masih cinta damai n NKRI memang sepatutnya  yg harus dilindungi dan dipertahankan."," @andre julianus3  lihat negara tetangganya aja, tingkat kriminal parah dan di cap negara tidak aman. mereka kan masih sodaraan, pasti sifatnya sama. cuman warga yang masih cinta damai n nkri memang sepatutnya  yg harus dilindungi dan dipertahankan.", andre julianus  lihat negara tetangganya aja tingkat kriminal parah dan di cap negara tidak aman mereka kan masih sodaraan pasti sifatnya sama cuman warga yang masih cinta damai n nkri memang sepatutnya  yg harus dilindungi dan dipertahankan,andre julianus lihat negara tetangganya aja tingkat kriminal parah dan di cap tidak aman mereka kan masih sodaraan pasti sifatnya sama cuman warga yang cinta damai n nkri memang sepatutnya yg harus dilindungi dipertahankan,"['andre', 'julianus', 'lihat', 'negara', 'tetangganya', 'aja', 'tingkat', 'kriminal', 'parah', 'dan', 'di', 'cap', 'tidak', 'aman', 'mereka', 'kan', 'masih', 'sodaraan', 'pasti', 'sifatnya', 'sama', 'cuman', 'warga', 'yang', 'cinta', 'damai', 'n', 'nkri', 'memang', 'sepatutnya', 'yg', 'harus', 'dilindungi', 'dipertahankan']","['andre', 'julianus', 'lihat', 'negara', 'tetangganya', 'aja', 'tingkat', 'kriminal', 'parah', 'cap', 'aman', 'sodaraan', 'sifatnya', 'cuman', 'warga', 'cinta', 'damai', 'n', 'nkri', 'sepatutnya', 'yg', 'dilindungi', 'dipertahankan']","['andre', 'julianus', 'lihat', 'negara', 'tetangga', 'aja', 'tingkat', 'kriminal', 'parah', 'cap', 'aman', 'sodaraan', 'sifat', 'cuman', 'warga', 'cinta', 'damai', 'n', 'nkri', 'patut', 'yg', 'lindung', 'tahan']"
6, @H A  negara sebelah aja g diurus sama HAM Dah males kali PBB ngurus nugini., @h a  negara sebelah aja g diurus sama ham dah males kali pbb ngurus nugini., h a  negara sebelah aja g diurus sama ham dah males kali pbb ngurus nugini,h a negara sebelah aja g diurus sama ham dah males kali pbb ngurus nugini,"['h', 'a', 'negara', 'sebelah', 'aja', 'g', 'diurus', 'sama', 'ham', 'dah', 'males', 'kali', 'pbb', 'ngurus', 'nugini']","['h', 'negara', 'sebelah', 'aja', 'g', 'diurus', 'ham', 'dah', 'males', 'kali', 'pbb', 'ngurus', 'nugini']","['h', 'negara', 'belah', 'aja', 'g', 'urus', 'ham', 'dah', 'males', 'kali', 'pbb', 'ngurus', 'nugini']"
7,Jangan peecaya dengan ham atau pbb,jangan peecaya dengan ham atau pbb,jangan peecaya dengan ham atau pbb,jangan peecaya dengan ham atau pbb,"['jangan', 'peecaya', 'dengan', 'ham', 'atau', 'pbb']","['peecaya', 'ham', 'pbb']","['peecaya', 'ham', 'pbb']"
8,Betul,betul,betul,betul,['betul'],[],[]
9,"Setuju,  betul skali","setuju,  betul skali",setuju  betul skali,setuju betul skali,"['setuju', 'betul', 'skali']","['setuju', 'skali']","['tuju', 'skali']"
10,Mereka memang tujuannya pingin ke internasional biar negara asing yang gak suka ama indonesia pada ikut campur,mereka memang tujuannya pingin ke internasional biar negara asing yang gak suka ama indonesia pada ikut campur,mereka memang tujuannya pingin ke internasional biar negara asing yang gak suka ama indonesia pada ikut campur,mereka memang tujuannya pingin ke internasional biar negara asing yang gak suka ama indonesia pada ikut campur,"['mereka', 'memang', 'tujuannya', 'pingin', 'ke', 'internasional', 'biar', 'negara', 'asing', 'yang', 'gak', 'suka', 'ama', 'indonesia', 'pada', 'ikut', 'campur']","['tujuannya', 'pingin', 'internasional', 'biar', 'negara', 'asing', 'gak', 'suka', 'ama', 'indonesia', 'campur']","['tuju', 'pingin', 'internasional', 'biar', 'negara', 'asing', 'gak', 'suka', 'ama', 'indonesia', 'campur']"
11,"Tumpas je tu kkb saye pon setuju same pemerintah Indonesia, kita pon mendoakan semoga laskar TNI sehat selalu salam dari Malaysiað²ð¾","tumpas je tu kkb saye pon setuju same pemerintah indonesia, kita pon mendoakan semoga laskar tni sehat selalu salam dari malaysiað²ð¾",tumpas je tu kkb saye pon setuju same pemerintah indonesia kita pon mendoakan semoga laskar tni sehat selalu salam dari malaysia,tumpas je tu kkb saye pon setuju same pemerintah indonesia kita mendoakan semoga laskar tni sehat selalu salam dari malaysia,"['tumpas', 'je', 'tu', 'kkb', 'saye', 'pon', 'setuju', 'same', 'pemerintah', 'indonesia', 'kita', 'mendoakan', 'semoga', 'laskar', 'tni', 'sehat', 'selalu', 'salam', 'dari', 'malaysia']","['tumpas', 'je', 'tu', 'kkb', 'saye', 'pon', 'setuju', 'same', 'pemerintah', 'indonesia', 'mendoakan', 'semoga', 'laskar', 'tni', 'sehat', 'salam', 'malaysia']","['tumpas', 'je', 'tu', 'kkb', 'saye', 'pon', 'tuju', 'same', 'perintah', 'indonesia', 'doa', 'moga', 'laskar', 'tni', 'sehat', 'salam', 'malaysia']"
12,Org yg merampas HAM org lain tidak pantas menuntut HAM-nya sendiri. Dah banyak org tak bersalah yg jd korban mereka.,org yg merampas ham org lain tidak pantas menuntut ham-nya sendiri. dah banyak org tak bersalah yg jd korban mereka.,org yg merampas ham org lain tidak pantas menuntut hamnya sendiri dah banyak org tak bersalah yg jd korban mereka,org yg merampas ham lain tidak pantas menuntut hamnya sendiri dah banyak tak bersalah jd korban mereka,"['org', 'yg', 'merampas', 'ham', 'lain', 'tidak', 'pantas', 'menuntut', 'hamnya', 'sendiri', 'dah', 'banyak', 'tak', 'bersalah', 'jd', 'korban', 'mereka']","['org', 'yg', 'merampas', 'ham', 'menuntut', 'hamnya', 'dah', 'bersalah', 'jd', 'korban']","['org', 'yg', 'rampas', 'ham', 'tuntut', 'ham', 'dah', 'salah', 'jd', 'korban']"
13,YaAllah semoga para TNI selalu dalam lindunganMu,yaallah semoga para tni selalu dalam lindunganmu,yaallah semoga para tni selalu dalam lindunganmu,yaallah semoga para tni selalu dalam lindunganmu,"['yaallah', 'semoga', 'para', 'tni', 'selalu', 'dalam', 'lindunganmu']","['yaallah', 'semoga', 'tni', 'lindunganmu']","['yaallah', 'moga', 'tni', 'lindung']"
